row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Blank_Extract.mzML Peak area,sweetfern_catkins.mzML Peak area,tansy_dried_flower.mzML Peak area,bittersweet_berries.mzML Peak area,tansy_flower.mzML Peak area,goldenrob_fresh_flowers.mzML Peak area,plantain.mzML Peak area,tansy_leaf.mzML Peak area,ground_ivy.mzML Peak area,bittersweet_roots.mzML Peak area,goldenrod_dried_flowers.mzML Peak area,sweetfern_dried.mzML Peak area,goldenrod_leaves.mzML Peak area,sweetfern_fresh.mzML Peak area,Unnamed: 27
1,539.2254943774589,0.54167473,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99177.33,0.0,
2,560.2858140943171,0.54167473,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163957.61,0.0,
3,565.2409761021987,0.54167473,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462803.1,0.0,
4,449.790492621955,0.5417721999999999,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23869.459,0.0,0.0,0.0,0.0,0.0,
5,465.80654532630854,0.5417721999999999,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23048.83,0.0,0.0,0.0,0.0,0.0,
6,468.80266716833876,0.5417721999999999,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28733.072,0.0,0.0,0.0,0.0,0.0,
7,485.8121744380942,0.5417721999999999,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34527.89,0.0,0.0,0.0,0.0,0.0,
8,508.82816635316686,0.5417721999999999,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20491.355,0.0,0.0,0.0,0.0,0.0,
9,467.80153492560476,0.5527665,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144690.44,0.0,0.0,0.0,0.0,72652.164,
10,468.9135667558916,0.98857784,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31510.082000000002,42064.027,0.0,0.0,
11,582.8942814787706,0.98857784,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21529.867000000002,32492.121,0.0,0.0,
12,598.8720428937073,0.9933489999999999,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27577.447,27758.035,0.0,0.0,
13,498.9069474615667,0.99344146,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31960.797000000002,0.0,0.0,
14,496.90864929328615,0.99574924,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24240.42,35808.957,0.0,0.0,
15,584.894400189986,0.9957533000000002,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22531.041,35285.832,0.0,0.0,
16,540.8816160748344,0.9980565,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23364.244,0.0,0.0,0.0,
17,484.89112009118173,0.9981042,,,,7.0,,,,,,,0.0,0.0,0.0,22803.227000000003,21507.0,22645.504,0.0,0.0,33944.76,0.0,39038.574,35761.9,0.0,17452.424,
18,656.8616189991594,0.99822897,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16342.633999999998,0.0,0.0,
19,470.91181364822893,1.0005351,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26305.361,36887.977,0.0,0.0,
20,626.8665261378958,1.0005292,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25326.123,26735.56,0.0,0.0,
21,512.8864856651248,1.0007546999999999,,,,7.0,,,,,,,0.0,0.0,0.0,33136.027,35441.43,37919.16,0.0,0.0,55168.445,0.0,61417.97,59523.31,22938.24,27293.576,
22,426.9007005294016,1.001562,,,,7.0,,,,,,,0.0,0.0,0.0,31765.734,26771.847999999998,30822.852000000003,0.0,0.0,53315.11,0.0,44402.79,37096.81,32798.215,27219.842,
23,556.8588575807264,1.0022492,,,,7.0,,,,,,,0.0,0.0,0.0,57263.44,34338.17,46567.777,39096.434,47667.434,103368.4,31663.354,57304.184,45252.363,71109.445,44133.684,
24,600.8714999510853,1.0029198000000001,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24972.027000000002,19363.678,0.0,0.0,
25,659.8223246987003,1.0032345999999999,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19816.385,0.0,
26,528.8639002994927,1.0032712,,,,7.0,,,,,,,0.0,0.0,0.0,52863.65,32130.58,47522.24,32975.113,44163.414000000004,95632.16,29825.186,53536.613,44924.582,65902.93,43258.023,
27,466.8803129650211,1.0036701,,,,7.0,,,,,,,0.0,0.0,0.0,17692.494,0.0,0.0,0.0,0.0,28004.871,0.0,27784.44,26290.586,0.0,0.0,
28,642.8442502324854,1.0053074,,,,7.0,,,,,,,0.0,0.0,0.0,18270.895,0.0,0.0,0.0,0.0,37745.984,0.0,28435.88,22600.441000000003,0.0,0.0,
29,529.8648793845348,1.0054988,,,,7.0,,,,,,,0.0,0.0,0.0,25372.586,0.0,21781.436,0.0,23665.068,48327.0,0.0,25063.63,22827.343999999997,32970.645,21670.936,
30,523.8341168429802,1.0058849,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18644.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,623.8173154153359,1.0058849,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15357.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,442.8783117117939,1.0060585,,,,7.0,,,,,,,0.0,14650.716999999999,0.0,157614.7,71911.74,119057.21,203599.1,186205.42,285399.47,120075.92,118080.91,77165.1,271618.84,121717.01,
33,658.8220324360464,1.0061216,,,,7.0,,,,,,,0.0,0.0,0.0,20517.338,0.0,0.0,18245.99,0.0,0.0,0.0,0.0,0.0,33608.016,0.0,
34,530.8619760090637,1.0082664000000001,,,,7.0,,,,,,,0.0,0.0,0.0,27468.147999999997,0.0,24187.6,0.0,20027.254,49587.395,0.0,27320.197,20763.863,32114.105,20951.096,
35,444.8757992087357,1.0089466999999999,,,,7.0,,,,,,,0.0,0.0,0.0,45644.09,0.0,34823.81,60484.92,55493.34,83478.03,37392.527,35211.383,22321.145,82704.29,36259.223,
36,500.8686858855223,1.0089843,,,,7.0,,,,,,,0.0,0.0,0.0,21740.674,0.0,0.0,0.0,0.0,39017.65,0.0,0.0,20796.92,26026.342,0.0,
37,443.8796468810849,1.0105579,,,,7.0,,,,,,,0.0,0.0,0.0,50044.984000000004,0.0,37926.094,63000.527,59079.835999999996,89193.625,40335.53,35964.387,23830.387000000002,87768.5,39178.2,
38,544.8412675649956,1.012082,,,,7.0,,,,,,,0.0,0.0,0.0,26106.327999999998,0.0,0.0,51858.36,35453.168,50133.63,26265.713,0.0,0.0,59485.765999999996,21186.904,
39,702.7930942442508,1.0142797,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,37124.04,26534.912,0.0,16427.71,0.0,0.0,0.0,0.0,
40,580.8238014960117,1.0143187,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19276.826,0.0,
41,572.8359998424911,1.0148921999999998,,,,7.0,,,,,,,0.0,0.0,0.0,89371.66,27473.982000000004,57084.926,162541.52,124475.97,165150.92,79127.98,45411.934,26526.146,196811.17,65113.35,
42,614.848825569532,1.0154261999999998,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16041.798999999999,0.0,0.0,0.0,0.0,0.0,
43,430.8611691235048,1.0164921999999998,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,47948.96,29621.959,33914.582,21467.504,0.0,0.0,42133.867,0.0,
44,487.357770345671,1.0169747,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36503.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,502.8665450565619,1.0172588,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26861.885,0.0,0.0,0.0,23122.037,0.0,
46,476.8667618316723,1.0172908,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,34573.477,0.0,0.0,0.0,0.0,0.0,32480.707000000002,0.0,
